,Rank,Team,Solved
0,1,McGinn,11
1,2,quailty,10
2,3,RNS,10
3,4,RedStar1,10
4,5,team10086,9
5,6,liyang,9
6,7,WindRunner,9
7,8,kut_msm,9
8,9,immortal,9
9,10,Qiao Ranliqu,8
10,11,LzyRapx,8
11,12,hdu_burdenfly,8
12,13,SYSU_ÍõÒã·å,8
13,14,zyb,8
14,15,vincentchou1996,7
15,16,HDU_Gatling,7
16,17,B15030217,7
17,18,MZ,7
18,19,hnqw1214,7
19,20,lzh,7
20,21,zhengzhenhang,7
21,22,Haut_cds,7
22,23,enamor,6
23,24,lqd,6
24,25,team031,6
25,26,shadowknight,6
26,27,HDU_Aloha\'Oe,6
27,28,Tak3n,6
28,29,whczss,6
29,30,ACMeow,6
30,31,ÉÏ¾ö©ë§æ,6
31,32,yuiouiop,6
32,33,Redstar2,6
33,34,kugwzk,6
34,35,Winter,6
35,36,brokenheart,5
36,37,AerixChan,5
37,38,Connor.Zhong,5
38,39,LeDestin,5
39,40,egg__,5
40,41,ziposcar,5
41,42,REEEEX,5
42,43,Mom'sMoron,5
43,44,Ë§±¦±¦,5
44,45,shiyilang,5
45,46,3gexiaohao,5
46,47,hnust_lixiuwen,5
47,48,makejokes,5
48,49,oxx1108,5
49,50,linhuangkun123,5
50,51,suibian1,5
51,52,hnust_WYW,5
52,53,ZZBond,5
53,54,teamPLZ,5
54,55,wangzechen2015,5
55,56,5120155010,5
56,57,kut_pcj1995,5
57,58,cj,5
58,59,hhuteam001,5
59,60,RogerRo,5
60,61,luosuocumt16,5
61,62,Aliange,5
62,63,李朝强,5
63,64,sjtsjt,5
64,65,magine,5
65,66,看不懂题目,5
66,67,tookkke,5
67,68,hhx,5
68,69,Megumin,5
69,70,樱花落舞,5
70,71,HAUT_YKC,5
71,72,ecjtu-xjhz.,5
72,73,mestayinloves,5
73,74,PerfectPan16,5
74,75,hovees,4
75,76,天�O,4
76,77,LinzhiQ,4
77,78,...,4
78,79,jsszwc,4
79,80,QuanQqqqq,4
80,81,acdart,4
81,82,bugaosuni59,4
82,83,NUC_AiR,4
83,84,dongsongshou,4
84,85,signer,4
85,86,喵之萌杀,4
86,87,wcf,4
87,88,541507070139,4
88,89,SSTupid,4
89,90,as2o3__,4
90,91,1552337396,4
91,92,mylegendarytime,4
92,93,Quasrain,4
93,94,16110502100,4
94,95,abutoto,4
95,96,010,4
96,97,xtuteam6_何佩佩...,4
97,98,team108,4
98,99,XTU-杨舒文陈军严靖...,4
99,100,maggch,4
100,101,201636000123,4
101,102,杀手,4
102,103,梦紫幽兰,4
103,104,18251957668,4
104,105,hzhzhao,4
105,106,AKiraKiwi,4
106,107,UnionFind,4
107,108,dutacm2017,4
108,109,Redscarf,4
109,110,CSL,4
110,111,FreeLp,4
111,112,nuc_hzx,4
112,113,PSacfc,4
113,114,jinmingyi1998,4
114,115,llllcq,4
115,116,ZondaR,4
116,117,Griffin,4
117,118,HappyEnd,4
118,119,JLU_nNbS,4
119,120,hdu107,4
120,121,OMGBoy,4
121,122,2015014268,4
122,123,orangesc,4
123,124,Unbeaten,4
124,125,cxq,4
125,126,刺猬他想被拥抱,4
126,127,xtufwz,4
127,128,后排广告位招租,4
128,129,bibi,4
129,130,白膜法师,4
130,131,sdut_王文豪,4
131,132,zhangyilian,4
132,133,Aoky,4
133,134,xiqi98,4
134,135,Hank,4
135,136,zgd,4
136,137,DeathXF,4
137,138,塞外飞龙,4
138,139,wanglang2016,4
139,140,YaoJinhui,4
140,141,Lixiang,4
141,142,KingGaruda,4
142,143,long long ago,4
143,144,Orz,4
144,145,lihanwenxc,4
145,146,YYecust,4
146,147,hnustCDW,4
147,148,tkwasok,4
148,149,BOYS233,4
149,150,yangshuang,4
150,151,201512203501004,4
151,152,1001153211,4
152,153,Feynman1999,4
153,154,RunningBug,4
154,155,swustlx,4
155,156,pangcong1,4
156,157,shyf1301,4
157,158,superice,4
158,159,beyoursven,4
159,160,jingtian777,4
160,161,acmstruggler,4
161,162,SDUTTX1602秦圣昭,4
162,163,只会二分猜题意,4
163,164,AC-Persist,4
164,165,8023yy,4
165,166,WeYoung,3
166,167,xsthunder,3
167,168,MillieX,3
168,169,Emotion,3
169,170,Rdoinei,3
170,171,adruill,3
171,172,Alice2017,3
172,173,M1saki,3
173,174,wxc_zz,3
174,175,xuzhiwen,3
175,176,shuafen,3
176,177,S丿Black,3
177,178,tokitsukaze,3
178,179,duxing2016,3
179,180,April,3
180,181,handsomehow,3
181,182,ZHangFY,3
182,183,SDUT计科1608李东庆...,3
183,184,wudu98,3
184,185,jxnu 15 zh,3
185,186,863471268,3
186,187,16122435,3
187,188,teamLLX,3
188,189,3151731373,3
189,190,HolyMiss,3
190,191,frokaikan,3
191,192,flipped,3
192,193,JXNU_15_熊嘉豪,3
193,194,ACM李晋,3
194,195,2016310200110,3
195,196,rsola,3
196,197,xtu_黄宇张恒哲代卓岑...,3
197,198,amatsukaze,3
198,199,biggf666,3
199,200,clgx00,3
200,201,kezhiying,3
201,202,DDullahan,3
202,203,survivor,3
203,204,jsswmdhty,3
204,205,CrimsonFantasy,3
205,206,BobHuang,3
206,207,aler,3
207,208,1122332211,3
208,209,meopass,3
209,210,hehailuowei,3
210,211,ACM组刘峰,3
211,212,liuyuqiang0,3
212,213,mirror58229,3
213,214,SDUTjk1604王炜良,3
214,215,lastprism,3
215,216,teamcw,3
216,217,20164249,3
217,218,Brassica,3
218,219,十七,3
219,220,Insomnia,3
220,221,xtu hwz,3
221,222,SDUT计科1603梁剑锋...,3
222,223,UnderSilence,3
223,224,hmy98213,3
224,225,Ylebron,3
225,226,fineart,3
226,227,sky007,3
227,228,zhanghang_OUC,3
228,229,死亡骑士,3
229,230,Poon,3
230,231,总有出题人想害朕,3
231,232,luolunzi,3
232,233,xdx,3
233,234,hippopmonkey,3
234,235,BESTRCYZ,3
235,236,vodkazy,3
236,237,huatian,3
237,238,201636000128,3
238,239,咬人还打人的阿炳 $_$...,3
239,240,civin1128,3
240,241,王大仙,3
241,242,pzqaetqr,3
242,243,starry ...,3
243,244,Luoyayu,3
244,245,1442782905,3
245,246,Orzzzz,3
246,247,calabashboy,3
247,248,Angel_Kitty,3
248,249,zq216991,3
249,250,ACMinclasssix1,3
