,手机,价格
0,苹果 iPhone 6s Plus,3473
1,8848 钛金手机M3,14142
2,OPPO A37,1075
3,纽曼 F9,178
4,苹果 iPhone 6s,2263
5,华为 G9 青春版,865
6,三星 Galaxy S7 edge,3220
7,中兴 Blade A2S,752
8,苹果 iPhone SE,1785
9,索尼 Xperia XZ,2071
10,迪美 7S,488
11,LG G6,2430
12,小辣椒 G108,119
13,ZUK Z2 Pro,1702
14,小米 小米Max,1304
15,小辣椒 红辣椒6,805
16,天语 L580,110
17,索尼 Xperia XZs,3455
18,OPPO R9s Plus ,2721
19,华为 MATE8,1637
20,纽曼 M560,99
21,小米 小米手机5,1507
22,360手机 F4S,705
23,HTC U11,4464
24,谷歌 Pixel XL,1979
25,华为 P9,1940
26,金立 M6S Plus,3299
27,努比亚 Z17畅享版,2499
28,摩托罗拉 Moto Z,3166
29,黑莓 KEYone,3484
30,小米 红米4,694
31,LG V20,1552
32,三星 SM-J3300,1158
33,vivo X7,1855
34,三星 SM-W2017,10491
35,三星 Galaxy Folder 2,1441
36,三星 Galaxy On7(2016),1360
37,HTC U Ultra,2999
38,三星 Galaxy C7,1785
39,华为 P9 Plus,2526
40,三星 Galaxy C5 Pro,1799
41,OPPO R9,2073
42,小辣椒 X7,3800
43,ZUK Z2,1450
44,诺基亚 216 DS,289
45,一加手机3T,2720
46,锤子 坚果Pro 32GB版,1470
47,小辣椒 红辣椒任性版Max,364
48,酷派 5267,313
49,夏普 AQUOS S2,2463
50,苹果 iPhone 6,2307
51,酷派 Cool S1,1417
52,魅族 魅蓝note3,680
53,三星 Galaxy S7,3126
54,苹果 iPhone 6 Plus,2287
55,中兴 BA603,699
56,金立 M2017,6999
57,尼凯恩 EN8,72
58,HTC Desire 10 pro,1749
59,三星 Galaxy Note 5,3064
60,魅族 魅蓝 Max,1338
61,努比亚 Z11,2345
62,誉品 I7S,499
63,魅族 魅蓝note2,367
64,荣耀 荣耀7,704
65,联想 P2,1658
66,海信 PRO,999
67,魅族 魅蓝3s,448
68,三星 Galaxy S6 Edge+(G9280),2832
69,OPPO R9 Plus,2372
70,摩托罗拉 Moto Z Play,1722
71,天语 T2,86
72,黑莓 PRIV,1391
73,中兴 Blade A2 Plus,929
74,苹果 iPhone 5s,816
75,酷派 S588,146
76,荣耀 畅玩5A,710
77,金立 M6,2260
78,摩托罗拉 Z2 PLAY,2967
79,纽曼 F518,198
80,荣耀 畅玩5X,629
81,诺基亚 105,154
82,vivo X7 Plus,1780
83,三星 Galaxy C5,1615
84,誉品 Y550,89
85,金立 M6 Plus,2582
86,ZUK Edge,1794
87,中兴 AXON天机 MAX,994
88,征服 S8,2998
89,三星 Galaxy On5（2016）,975
90,中兴 L660,226
91,金立 S10C,1399
92,金立 W909,3968
93,OPPO A59,1320
94,华为 畅享5s,630
95,小米 红米3S,644
96,誉品 Y580,96
97,海信 A2,4199
98,纽曼 L660,207
99,三星 SM-W2016,6409
100,华为 G9 PLUS,1276
101,三星 Galaxy S6 Edge,1956
102,360手机 N4S骁龙版,974
103,小米 红米2A(增强版),250
104,长虹 S10,599
105,酷派 锋尚2,422
106,纽曼 L6,178
107,LG G5,936
108,小辣椒 红辣椒Note4X,817
109,VETAS V5PRO,8399
110,诺基亚 3310,416
111,魅族 魅蓝U20,798
112,飞利浦 E105,113
113,HTC M10H,1441
114,欧奇 OKP9,6999
115,一加手机3,1924
116,三星 Galaxy C8,1835
117,酷派 B770S,429
118,优思 US99,150
119,索尼 Xperia Z5,1579
120,中兴 Blade A2,667
121,诺基亚 230 DS,442
122,索尼 Z5 Premium,1722
123,康佳 U11,189
124,荣耀 畅玩4C电信版,434
125,360手机 F5,455
126,纽曼 C5,102
127,波导 A530,191
128,优思 US6,93
129,索爱 SA-Z8,292
130,欧奇 P6,1699
131,三星 Galaxy J3 Pro,758
132,酷派 5370,491
133,华为 Mate 7,940
134,华为 P8(青春版),578
135,三星  Galaxy Note,999
136,荣耀 畅玩4X,447
137,小米 红米Note2,348
138,魅族 魅蓝metal,601
139,三星 Galaxy S6,1274
140,360手机 N4S,951
141,纽曼 C360,149
142,AGM M2,398
143,海尔 M360,189
144,AGM X1,2132
145,魅族 PRO 6,1516
146,努比亚 Z11 miniS,1343
147,锤子 坚果手机,1354
148,锤子 M1L,1780
149,荣耀 荣耀7i,689
150,飞利浦 E311,258
151,OPPO R7S,977
152,中兴 AXON天机 7,2507
153,小米 4C,487
154,小米 NOTE,1358
155,索爱 SA-Z86,289
156,苹果 iPhone 5c,464
157,360 Q5PLUS,1417
158,华为 麦芒4,813
159,艾尼卡 T9,187
160,波导 D616,103
161,vivo X6,1396
162,小米 红米Pro,1266
163,21克 M2S,493
164,金立 S5,954
165,詹姆士 R19 PLUS,10899
166,小米 红米Note,306
167,华为 荣耀畅玩4,508
168,魅族 MX5,440
169,长虹 GA568,391
170,魅族 魅蓝3,582
171,华为 畅享5,559
172,康佳 U2,154
173,飞利浦 E106,117
174,长虹 L1,288
175,天语 T5,181
176,酷派 Cool 1C,746
177,小米 小米手机4,666
178,中国移动 N2,756
179,朵唯 L520,1799
180,中兴 Blade V8,1309
181,金立 金钢2,1099
182,三星 Galaxy A9 高配版,1715
183,纽曼 X6,79
184,SUGAR S9,2274
185,中兴 V0840,783
186,GRAVER K968,103
187,荣耀 荣耀6 Plus,624
188,康佳 U1,245
189,金立 S9,1999
190,vivo Y51,683
191,波导 A510,92
192,小米 2S,191
193,金立 S10B,1999
194,索爱 SA-T618,161
195,OPPO A31,416
196,波导 M7,659
197,GRAVER K988,115
198,飞利浦 E321,338
199,中兴 BA510,339
200,康佳 R6,597
201,美图 M4,764
202,纽曼 V18,170
203,诺基亚 Lumia 930,1311
204,尼凯恩 EN3,96
205,朵唯 L9,1599
206,中兴 S158,251
207,SUGAR Y9,1274
208,朵唯 L9 mini,1099
209,vivo Y33,424
210,立丰 T7+,229
211,vivo Y37,788
212,京立 G2,56
213,中兴 E3,224
214,vivo Xplay5,2677
215,小辣椒 S31,899
216,中兴 L628,234
217,诺基亚 E71,188
218,优乐酷 V6,199
219,中兴 L680,204
220,中兴 A910,735
221,纽曼 V8,190
222,小米 红米3X,651
223,飞利浦 V800,1284
224,青橙 T5,270
225,波导 V20,199
226,黑莓 DTEK50,1655
227,守护宝 F5,694
228,华为 C5735,101
229,TCL 121,199
230,金立 F5,1299
231,派对 C555B,188
232,诺亚信 F2016,399
233,华为 Ascend P7,542
234,中兴 L550,165
235,酷派 5367,353
236,vivo X5L,745
237,微软 Lumia 950,706
238,米蓝 R11,649
239,中国移动 A2,449
